,tweet,label
0,RT @user #Ape $Ape  Give some of the Apes that are tweeting the great pics   #atAMC a follow  These pics help remind ppl what’s s…,nano
1,@user I can’t see a single valid reason to sell $APE,nano
2,"RT @user Now we just need to knock our heels together three times and say ""Summer of Tez"" and maybe the magic will happen. $XTZ",nano
3,"☝️would love some input from #tezos #cleannft #xtz #tez $xtz people on this, just want to understand what's happening with the latest tezos upgrade :)",nano
4,RT @user Fresh drop 💜 - 3 Men Please - the more the merrier~   30 editions 0.5 $XTZ  collect via https://t.co/FVt1WR27TX https://…,nano
5,"RT @user ""Petal Pusher"" 🌺 @user  #high4tezos 🌸 10 eds. 10 $xtz 🔗 in comments #tezoscollectors #tezosnfts http",nano
6,my first thought was that tezos didn't reach quorum for the hangzhou upgrade but they did. I guess it's because of bitcoin pulling everything else down #tezos #xtz $xtz https://t.co/6d5TbvBLh6,nano
7,RT @user Cubic Experiments 010  100/101 @ 0.25 $XTZ  https://t.co/xP0QuwTZ5q http,nano
8,I see some #tezos/#hicetnunc people also minting on #algorand/#dartroom.  What do you think of Algorand and Dartroom? How does it compare to Tezos and Hic Et Nunc?  $xtz $algo #nft #nftart #cleannft,nano
9,"RT @user Reduction -- A grid based, handmade artwork, Now on @user   50/50 0.5 $XTZ  BURNING IN 48 HOURS  - http",nano
10,RT @user Special drop! #tribute4tribute event initiated by @user  Here’s my tribute to my bestie @user ♥️ I’m sure you’ll…,nano
11,"this is good news, but I wonder if it will even affect the price of $xtz 🤔 #tezos has lots of adoption from great artists, but it hovers around $4-$5 USD for some reason http",nano
12,RT @user Top 10 Solana Collection by Owners in Opensea  @DegenTrashPanda @SeaShantiesSol @SolsteadsNFT @okaybears @dyornerds @DeGo…,micro
13,RT @user Top 10 Solana Collection by Owners in Opensea  @genopets @DegenTrashPanda @SeaShantiesSol @solsteadsnft @okaybears @dyorn…,micro
14,"RT @user Daily update: @user has increased the FP by 2 $SOL and total listed count is higher than yesterday. Seriously, dont c…",micro
15,RT @user Top 10 Solana Collection by Owners in Opensea  @DegenTrashPanda @nyanheroes @SeaShantiesSol @solsteadsnft @okaybears @dyo…,micro
16,RT @user Just swept 21 @user off the floor 🧹🧹🧹 for an avg price of 7.5 $SOL but did literally ZERO of my own research. NFA.…,micro
17,"RT @user Minting right now for 1.5 $SOL! @user 3 away on this post 🎁  - Follow @user and myself - Like, RT, and tag a…",micro
18,"RT @user Top 5 #NFT collections with more than 10k $SOL general volume💰, having recorded the biggest floor pump in the last 24…",micro
19,RT @user I want @user to succeed I want @user to succeed I want @user  succeed I want @user  to succee…,micro
20,RT @user Dont complain about @user when they hit 20 $SOL FP and you cant afford one. Ive been telling you for the last weeks.…,micro
21,😉 http,mega
22,http,mega
23,http,mega
24,"Takes 2 $Matic or  100 $BANK on polygon. That's one of the lowest cost ways to now flex commitment to community, and value the work of your peers in so doing. You could pay in tips earned over the week if you're creating value for the community. Long Live the Festival of Commons! http",nano
25,"@user my favorite aggregator has a sweet booth this year, if you ignore the glare lol http",nano
26,Data Shows #Bitcoin Could Be On The Verge Of A Bull Run #Cryptocurrency http,macro
27,Watching @user live right now! This better be something major! #CryptoCurrency,macro
28,"Trader Who Called $6,000 #Bitcoin Bottom Predicts $100,000 By Late 2022 $BTC #Cryptocurrency http",macro
29,"Bakkt (Coming November) will have a huge impact on the #crypto market! “All aspects of the existing futures market, including institutional-grade onboarding and compliance will, for the first time, be part of physical delivery and warehousing of #Bitcoin” http",macro
30,Nasdaq Stock Exchange to Start Offering $BTC and $ETH Indices #Cryptocurrency #MassAdoption http,macro
31,"3. Time will tell, short-term could get ugly. It will all come down to who wins in court.  4. Obviously #Ripple is going to do everything in there power to win.  5. The question comes down to, are you willing to risk your investment on a court ruling?  Current Price $XRP $0.47",macro
32,"Smart Money is Flooding into Crypto  Grayscale, the world's largest #bitcoin and digital currency asset manager, buys 33% of all #bitcoin mined in the last three months   $BTC #Cryptocurrency    http",macro
33,The U.S. Commodity Futures Trading Commission (CFTC) officially called #bitcoin a commodity #Cryptocurrency http,macro
34,I’m sending a bunch of $ETH out to random people that have my post notifications on 🔔 Comment proof below.,no influencer
35,"updated price for $QTUM, $BNB, $TRX:#QTUM $3.361 USD#BNB 0.013776 #BTC#TRX 3.639e-05 #ETHI tweet updated pric… http",no influencer
36,"RT @user You’ll receive 870,000,000.00  870,000,000.00 in $Shib  to the first 3000 people who follows and retweets   Drop your $ET…",nano
37,RT @user We are giving $LUNA to first 15000 people who follows and retweets,nano
38,RT @user 【$ATOM ⚛️ #giveaway‼️】  10 $ATOM giveaway for one person to increase followers of “Cosmonauts” .  To win: Like &amp; Retwee…,nano
39,"RT @user 💰 Prize  3 $BNB competition 💰   🎁 #CatGirlCoin 1,000  x 3  [Equivalent to $ 300 in total]   ⚠️ Conditions  ✅ RT &amp; like th…",nano
40,RT @user Amount of time between $APE halts: 1. 18 sec 2. 30 sec 3. 2 min 52 sec 4. 2 min 37 sec 5. 3 min 41 sec 6. 6 min 4 sec 7. 4…,nano
41,@user I never look at this.   Is it helpful?,macro
42,All fed theories out the window now?  https://t.co/0PItGKaiEj,macro
43,RT @user man's describing boobahub innit http,macro
44,@user @user @user 1.2b fdv on 130m in tvl in a market with declining liquidity and market participants should prob be trading more around 3x vs 10x.,macro
45,I’d like to think $ETH isn’t going to 3 digits this week.,macro
46,http,macro
47,@user @user It's so manufactured I don't believe a single thing China says in relation to Covid.,macro
48,Ahh yes TVL.   Which VC created it for you?,macro
49,@user @user I’m in the camp of squeeze and them eventually lose it.,macro
50,@user It could given how this mkt trades.,macro
51,"…from members management, a content portal, a marketplace, a video conferencing tool, to networking tools, and all of this within one click.” Said Jane Thomas, a women empowerment champion in South Africa http",macro
52,RT @user Been waiting on today's show for #BattleZaMtaa hosted by @user and I love the ongoing conversation on @user,macro
53,and every other stakeholder working to support and empower women across the world.  You can sign up as an organization or as an individual.   Join us today via http #WomenTech #Twaa,macro
54,"""Local challenges need local solutions, we understand our challenges and environment more than an outsider"" @user #EABSForum",macro
55,"Look at every challenge as an opportunity for advancement and learning! Every situation is different, don't compare! Master each lesson!",macro
56,Partnering with your peers provide different skill sets &amp; information! Its easier to get financial support as a group #youngbiz4tz,macro
57,Panelists @user @user @user @user moderated by @user #youngbiz4tz,macro
58,AdanianLabs powering the next generation tech startups in Africa – The Sun Nigeria ⁦@thesunnigeria⁩  http,macro
59,@user It feels good right? 🤑,mega
60,Blows my mind that people are selling because of this.   Are you stupid... LOL  I will buy all of your bags 💰 $UOS http,mega
61,RT @user This is very important and shows a side of one of my best friends @user that not many have seen. Donate if u can! #st…,mega
62,Well looks like taking pictures of you 😂 http,mega
63,Couple goals http,mega
64,"Yesterday we made a swing off the side of the boat, then ended with me landing right on my back 😂 http",mega
65,@user BOTH 😂 #AskOliWhite,mega
66,Ohhhhh myyy 60k #Bitcoin incoming! 🔥,mega
67,Some very nice $LKMEX #Rewards are coming to people that minted our #ElrondNFT  1st distribution: when we reach 1.000.000 $LKMEX generated in farms  ❗️Only NFTs minted for $EGLD/$LKMEX will receive them. Current eligible NFTs:31  MINT for huge rewards: http ⚔️ http,nano
68,"Join the Waggle Network public sale whitelist, use my referral link to receive one extra ticket! #Solana $SOL $SLIM $WAG http",nano
69,RT @user 🎁 Ethereum  #Giveaway 🎁  Prize: 1 $ETH 💥   RULES⬇️ 1️⃣ Follow @user on Twitter &amp; Instagram 2️⃣ Retweet &amp; Li…,nano
