twitter user id,texts,class,count_mention
0037a672f0ed64b3231bac64853a278d,rt ape ape give apes tweeting great pics atamc follow pics help remind ppl,nano,1
0037a672f0ed64b3231bac64853a278d,see single valid reason sell ape,nano,1
03eaa72711143b521c073d9ac5745923,rt need knock heels together three times say summer tez maybe magic happen xtz,nano,1
03eaa72711143b521c073d9ac5745923,index_pointing_up would love input tezos cleannft xtz tez xtz people want understand happening latest tezos upgrade,nano,0
03eaa72711143b521c073d9ac5745923,rt fresh drop purple_heart 3 men please merrier 30 editions 0 5 xtz collect via,nano,1
03eaa72711143b521c073d9ac5745923,rt petal pusher hibiscus high4tezos cherry_blossom 10 eds 10 xtz link comments tezoscollectors tezosnfts,nano,2
03eaa72711143b521c073d9ac5745923,first thought tezos reach quorum hangzhou upgrade guess bitcoin pulling everything else tezos xtz xtz,nano,0
03eaa72711143b521c073d9ac5745923,rt cubic experiments 010 100 101 0 25 xtz,nano,1
03eaa72711143b521c073d9ac5745923,see tezos hicetnunc people also minting algorand dartroom think algorand dartroom compare tezos hic et nunc xtz algo nft nftart cleannft,nano,0
03eaa72711143b521c073d9ac5745923,rt reduction grid based handmade artwork 50 50 0 5 xtz burning 48 hours,nano,2
03eaa72711143b521c073d9ac5745923,rt special drop tribute4tribute event initiated tribute bestie heart_suit sure,nano,3
03eaa72711143b521c073d9ac5745923,good news wonder even affect price xtz thinking_face tezos lots adoption great artists hovers around 4 5 usd reason,nano,0
0409fe210a0edfe258d21e3404e1ce05,rt top 10 solana collection owners opensea,micro,7
0409fe210a0edfe258d21e3404e1ce05,rt daily update increased fp 2 sol total listed count higher yesterday seriously dont c,micro,2
0409fe210a0edfe258d21e3404e1ce05,rt swept 21 floor broom broom broom avg price 7 5 sol literally zero research nfa,micro,2
0409fe210a0edfe258d21e3404e1ce05,rt minting right 1 5 sol backhand_index_pointing_down giving 3 away post wrapped_gift follow like rt tag,micro,3
0409fe210a0edfe258d21e3404e1ce05,rt top 5 nft collections 10k sol general volume money_bag recorded biggest floor pump last 24,micro,1
0409fe210a0edfe258d21e3404e1ce05,rt want succeed want succeed want succeed want succee,micro,5
0409fe210a0edfe258d21e3404e1ce05,rt dont complain hit 20 sol fp cant afford one ive telling last weeks,micro,2
05ca545f2f700d0d5c916657251d010b,winking_face,mega,0
05ca545f2f700d0d5c916657251d010b,,mega,0
062492818c984febba843b650a4a602e,takes 2 matic 100 bank polygon one lowest cost ways flex commitment community value work peers could pay tips earned week creating value community long live festival commons,nano,0
062492818c984febba843b650a4a602e,favorite aggregator sweet booth year ignore glare lol,nano,1
0d3700fa5c7c3fce6fd1e1ffd5282f50,data shows bitcoin could verge bull run cryptocurrency,macro,0
0d3700fa5c7c3fce6fd1e1ffd5282f50,watching live right better something major cryptocurrency,macro,1
0d3700fa5c7c3fce6fd1e1ffd5282f50,trader called 6 000 bitcoin bottom predicts 100 000 late 2022 btc cryptocurrency,macro,0
0d3700fa5c7c3fce6fd1e1ffd5282f50,bakkt coming november huge impact crypto market aspects existing futures market including institutional grade onboarding compliance first time part physical delivery warehousing bitcoin,macro,0
0d3700fa5c7c3fce6fd1e1ffd5282f50,nasdaq stock exchange start offering btc eth indices cryptocurrency massadoption,macro,0
0d3700fa5c7c3fce6fd1e1ffd5282f50,3 time tell short term could get ugly come wins court 4 obviously ripple going everything power win 5 question comes willing risk investment court ruling current price xrp 0 47,macro,0
0d3700fa5c7c3fce6fd1e1ffd5282f50,smart money flooding crypto grayscale world largest bitcoin digital currency asset manager buys 33 bitcoin mined last three months btc cryptocurrency,macro,0
0d3700fa5c7c3fce6fd1e1ffd5282f50,u commodity futures trading commission cftc officially called bitcoin commodity cryptocurrency,macro,0
0e1d2c43b93e8e80dc8eb6b29d48b2c1,sending bunch eth random people post notifications bell comment proof,no influencer,0
0ed9637249db91cb2c256ec156ce1977,updated price qtum bnb trx qtum 3 361 usd bnb 0 013776 btc trx 3 639e 05 ethi tweet updated pric,no influencer,0
0f0942696ae8bcadf0db494cce7333e0,rt receive 870 000 000 00 870 000 000 00 shib first 3000 people follows retweets drop et,nano,1
0f0942696ae8bcadf0db494cce7333e0,rt giving luna first 15000 people follows retweets,nano,1
0f0942696ae8bcadf0db494cce7333e0,rt atom atom_symbol giveaway double_exclamation_mark 10 atom giveaway one person increase followers cosmonauts win like amp retwee,nano,1
0f0942696ae8bcadf0db494cce7333e0,rt money_bag prize 3 bnb competition money_bag wrapped_gift catgirlcoin 1 000 x 3 equivalent 300 total warning conditions check_mark_button rt amp like th,nano,1
11727505346c5f966891f74094042073,rt amount time ape halts 1 18 sec 2 30 sec 3 2 min 52 sec 4 2 min 37 sec 5 3 min 41 sec 6 6 min 4 sec 7 4,nano,1
1316cba6e1442a126102d5e2ab0813ec,never look helpful,macro,1
1316cba6e1442a126102d5e2ab0813ec,fed theories window,macro,0
1316cba6e1442a126102d5e2ab0813ec,rt man describing boobahub innit,macro,1
1316cba6e1442a126102d5e2ab0813ec,1 2b fdv 130m tvl market declining liquidity market participants prob trading around 3x vs 10x,macro,3
1316cba6e1442a126102d5e2ab0813ec,like think eth going 3 digits week,macro,0
1316cba6e1442a126102d5e2ab0813ec,manufactured believe single thing china says relation covid,macro,2
1316cba6e1442a126102d5e2ab0813ec,ahh yes tvl vc created,macro,0
1316cba6e1442a126102d5e2ab0813ec,camp squeeze eventually lose,macro,2
1316cba6e1442a126102d5e2ab0813ec,could given mkt trades,macro,1
13e873428de3ccfd3873b3d7258ad411,members management content portal marketplace video conferencing tool networking tools within one click said jane thomas women empowerment champion south africa,macro,0
13e873428de3ccfd3873b3d7258ad411,rt waiting today show battlezamtaa hosted love ongoing conversation,macro,3
13e873428de3ccfd3873b3d7258ad411,every stakeholder working support empower women across world sign organization individual join us today via womentech twaa,macro,0
13e873428de3ccfd3873b3d7258ad411,local challenges need local solutions understand challenges environment outsider eabsforum,macro,1
13e873428de3ccfd3873b3d7258ad411,look every challenge opportunity advancement learning every situation different compare master lesson,macro,0
13e873428de3ccfd3873b3d7258ad411,partnering peers provide different skill sets amp information easier get financial support group youngbiz4tz,macro,0
13e873428de3ccfd3873b3d7258ad411,panelists moderated youngbiz4tz,macro,5
13e873428de3ccfd3873b3d7258ad411,adanianlabs powering next generation tech startups africa sun nigeria,macro,1
179aa6d5d94999ae0bf77d13bcc5fa31,feels good right money mouth_face,mega,1
179aa6d5d94999ae0bf77d13bcc5fa31,blows mind people selling stupid lol buy bags money_bag uos,mega,0
179aa6d5d94999ae0bf77d13bcc5fa31,rt important shows side one best friends many seen donate u st,mega,2
179aa6d5d94999ae0bf77d13bcc5fa31,well looks like taking pictures face_with_tears_of_joy,mega,0
179aa6d5d94999ae0bf77d13bcc5fa31,couple goals,mega,0
179aa6d5d94999ae0bf77d13bcc5fa31,yesterday made swing side boat ended landing right back face_with_tears_of_joy,mega,0
179aa6d5d94999ae0bf77d13bcc5fa31,face_with_tears_of_joy askoliwhite,mega,1
179aa6d5d94999ae0bf77d13bcc5fa31,ohhhhh myyy 60k bitcoin incoming fire,mega,0
1bc1201be24ca9d0c0afd94ca0116609,nice lkmex rewards coming people minted elrondnft 1st distribution reach 1 000 000 lkmex generated farms red_exclamation_mark nfts minted egld lkmex receive current eligible nfts 31 mint huge rewards crossed_swords,nano,0
1bc3271b139a2c06af59e579890796f7,join waggle network public sale whitelist use referral link receive one extra ticket solana sol slim wag,nano,0
1bc3271b139a2c06af59e579890796f7,rt wrapped_gift ethereum giveaway wrapped_gift prize 1 eth collision rules down_arrow keycap_1 follow twitter amp instagram keycap_2 retweet amp li,nano,2
1bc3271b139a2c06af59e579890796f7,lets go solrabbit solrabbit sol solana sol rabbit airdrop,nano,4
1bc3271b139a2c06af59e579890796f7,verifying transaction counterclockwise_arrows_button sun trial tokens claim id 686545082828 sol,nano,2
1bc3271b139a2c06af59e579890796f7,rt happy easter rabbit_face airdropping sol wl spots anyone follow retweets drops solana address chocolate_bar,nano,1
1bc3271b139a2c06af59e579890796f7,rt 50 lucky users walk away 10 busd kickstart twitter spaces happening august 14 11 utc,nano,2
1bc3271b139a2c06af59e579890796f7,rt airdropping 1 000 000 seas first 20 000 participant fcfs participate follow us like amp retweet tweet,nano,1
1bc3271b139a2c06af59e579890796f7,rt money_bag 2 500 bnb amp 250 000 busd 2 500 participants backhand_index_pointing_right complete tasks 1 follow rt pinned amp comment 2 retweet,nano,1
1bc3271b139a2c06af59e579890796f7,rt airdropping rabbit tokens people completes following tasks tasks follow us like rt tag 3 friends join,nano,1
1bc3271b139a2c06af59e579890796f7,rt money_with_wings win 1000 cro money_with_wings celebrate ripae cronos genesis distribution launching limited time giveaway pa,nano,1
1cbf16d93cc6a672eaed9c16ac07f114,dm something rocket,mega,1
1cbf16d93cc6a672eaed9c16ac07f114,fine got amazing shoot dm rocket envelope_with_arrow,mega,1
1cbf16d93cc6a672eaed9c16ac07f114,contact need talk something amazing project rocket red_heart,mega,1
1cbf16d93cc6a672eaed9c16ac07f114,best proposal contact pls envelope_with_arrow envelope_with_arrow,mega,1
1cbf16d93cc6a672eaed9c16ac07f114,heyy best proposal rocket red_heart dm pls envelope,mega,3
1cbf16d93cc6a672eaed9c16ac07f114,awesome send dm let collaborate rocket rocket,mega,1
1cbf16d93cc6a672eaed9c16ac07f114,lets talk big business smiling_face_with_smiling_eyes,mega,2
1fe087134fe681f8509f8d9ced432621,lol yeah everything wrong world lololol think people need take responsibility blame someone else,macro,2
1fe087134fe681f8509f8d9ced432621,best one see slightly probably low probability based tiny right shoulder,macro,1
1fe087134fe681f8509f8d9ced432621,worried delisting trade otc market like tencent already investors switch adr shares hong kong listed shares bigger threat china helping russia taiwan either way im long baba,macro,1
1fe087134fe681f8509f8d9ced432621,person isnt even member trying get trades free picking choosing course lose lol,macro,2
1fe087134fe681f8509f8d9ced432621,little today actually better though really big drop big pop slightly negative,macro,1
1fe087134fe681f8509f8d9ced432621,yes bear market rally still think might upside first new 52 week lows,macro,1
1fe087134fe681f8509f8d9ced432621,thanks tim truly appreciated,macro,3
1fe087134fe681f8509f8d9ced432621,start inching level shown,macro,1
1fe087134fe681f8509f8d9ced432621,lol yearly package monthly service saves 600 yr kinda smart right lolololol,macro,1
1fe087134fe681f8509f8d9ced432621,back 95 100,macro,1
21658f2f073f0e041b79bf0f7632a0eb,bust_in_silhouette,mega,0
21658f2f073f0e041b79bf0f7632a0eb,rt check new single sacrifice fire,mega,2
21658f2f073f0e041b79bf0f7632a0eb,philip gardner donated towards new album thank philip support means lot raising_hands_light_skin_tone,mega,0
21658f2f073f0e041b79bf0f7632a0eb,rt pledged towards new album red_heart amazing,mega,2
21658f2f073f0e041b79bf0f7632a0eb,rt honor single levitation playing radio stations raising_hands_light_skin_tone thank amazing response htt,mega,1
21658f2f073f0e041b79bf0f7632a0eb,let anyone tell believe believe first thing see research come conclusions,mega,0
21658f2f073f0e041b79bf0f7632a0eb,stars key,mega,0
21658f2f073f0e041b79bf0f7632a0eb,brighter colors side,mega,0
238a39478f2f7b782dfdbeee63df503f,soon,no influencer,6
28ab93d1cfa1452bee4da4a93746b956,rt ada trend line trend line 2 breaks market likely revisits confluence support 1 bear,micro,1
28ab93d1cfa1452bee4da4a93746b956,rt see potential elliot wave pattern majority alts including eos dash bch see completio,micro,2
2a4594727182fe436cf4c92ff95afd5f,truss got lot better real debate sunak belter rs libdems remain taken lying winchester burn back lt absolute slaying kemi sunak covid fraud gift labour gon na v big row,macro,0
2a4594727182fe436cf4c92ff95afd5f,sir jvt tomo,macro,1
2a4594727182fe436cf4c92ff95afd5f,rt england set shot stunning second test win tear new zealand,macro,1
2a4594727182fe436cf4c92ff95afd5f,came back star wars joke thinking_face,macro,0
2a4594727182fe436cf4c92ff95afd5f,exc johnson warn russian coffins pile high putin invades ukraine pm seeks bypass kremlin propaganda targeted viral blitz russian language translation munich speech tomorrow,macro,0
2a4594727182fe436cf4c92ff95afd5f,going bit cult st jeremy stress testing candidates records literally writing things said past smear paper trail suggests straight public contest pick next pm toughen,macro,0
2a4594727182fe436cf4c92ff95afd5f,scoop monday sun lol,macro,0
2a4594727182fe436cf4c92ff95afd5f,pm russian invasion ukraine bloodily resisted,macro,0
2a4594727182fe436cf4c92ff95afd5f,single british photographer hack plane footage coming ukrainian sources,macro,0
2c89a88b4afc68a6a9b40631185892c2,es cine broooo,mega,1
2e30287cca6193247154f34ba1127ecc,rt watching drama drawing conclusion bullish competing nft marketp,micro,2
2e30287cca6193247154f34ba1127ecc,ignorant comment brother apeusd dai makerdao luna hodl ape creating utility value,micro,4
2e30287cca6193247154f34ba1127ecc,elon yuga bayc ape doge vs mark,micro,2
2e30287cca6193247154f34ba1127ecc,rt missed btc 2009 ethereum eth 2015 miss ape 2022 gorilla banana,micro,1
2e30287cca6193247154f34ba1127ecc,good web3 token gt equity ape value accrues check uni mkr comp,micro,0
2e30287cca6193247154f34ba1127ecc,rt claim page creth2 usdc live creth2 depositors return cream protoc,micro,1
2e30287cca6193247154f34ba1127ecc,rt ape coin flip doge coin bayc gorilla,micro,1
2e30287cca6193247154f34ba1127ecc,yeah ape part fungible like doge,micro,2
2e9a06568e70652d1ccedff0b433b43e,rt police_car_light 10 000 giveaway money_with_wings join sol saiyan discord learn releasing collection dec 4th party_popper check_mark_button follow check_mark_button,mega,2
2e9a06568e70652d1ccedff0b433b43e,opportunity join disruptive metaverse baby right_arrow superhero know coming rocket rocket rocket pre sale february 27 spiral_calendar 2 00 p est fire globe_with_meridians get novatar high_voltage thenovatar nftpfp twitterblue nftcommunity,mega,1
2e9a06568e70652d1ccedff0b433b43e,nice project fire dm business proposal gem_stone,mega,2
2e9a06568e70652d1ccedff0b433b43e,let go fire dm business proposal gem_stone,mega,2
2e9a06568e70652d1ccedff0b433b43e,moon full_moon dm business proposal gem_stone,mega,1
2e9a06568e70652d1ccedff0b433b43e,rt gameverse listed cg amp cmc within 24 hours p2e mini game already live new one coming every week huge g,mega,1
2e9a06568e70652d1ccedff0b433b43e,rt drum rocket raising curtains solana apis high_voltage experience fastest apis match person_running person_running ever fast blockchain backhand_index_pointing_right,mega,2
2e9a06568e70652d1ccedff0b433b43e,rt partying_face solajump presale giveaway partying_face 3 sol 720 trophy win keycap_1 follow us keycap_2 tag 3 friends amp rt post keycap_3 join di,mega,2
2e9a06568e70652d1ccedff0b433b43e,hey project seems amazing dm business proposal gem_stone,mega,1
2e9a06568e70652d1ccedff0b433b43e,heyy business proposal gem_stone,mega,7
2f5a43bbfb7fcb3623222de6305b45b9,rt mike amp dustin always sticking together game_die fire television strangerthings4,macro,1
2f5a43bbfb7fcb3623222de6305b45b9,rt,macro,1
31372df13f6fc329b520357ad3cde349,manage risk lose either way degen ape mentality fun unless control reks know could always ape shib get really lucky woman_shrugging let pretend goes majority time,micro,0
318e755c806d7edc16b2fb7518e3fbde,rt julian assange brother speaks ahead expected ruling assangecase totally lopsided extraditi,mega,2
318e755c806d7edc16b2fb7518e3fbde,court must consider large cogent body extraordinary unprecedented evidence cia declared assange hostile enemy amp cia plotted kill agency determine prison conditions assangecase cia,mega,0
318e755c806d7edc16b2fb7518e3fbde,cia plan assassinate julian assange cbs news freeassangenow,mega,1
318e755c806d7edc16b2fb7518e3fbde,wikileaks editor chief kristinn hrafnsson julian life grave threat right journalists publish material governments corporations find inconvenient freeassangenow,mega,0
318e755c806d7edc16b2fb7518e3fbde,fair right possible extradite julian assange country plotted kill assange fiancee lawyer freeassangenow,mega,1
318e755c806d7edc16b2fb7518e3fbde,uk national union journalists demands release award winning journalist publisher julian assange cia kill kidnap plans widely reported freepress link,mega,1
318e755c806d7edc16b2fb7518e3fbde,rt report 2017 murder journalist daphnecaruanagalizia malta speaks clear language state recogni,mega,1
318e755c806d7edc16b2fb7518e3fbde,australian special forces afghanistan shot unarmed men children covered ten incidences afghanistan,mega,0
318e755c806d7edc16b2fb7518e3fbde,rt sign amp share freeassange petition calling uk home secretary priti patel deny extradition 18 may,mega,2
318e755c806d7edc16b2fb7518e3fbde,rt full page ad yesterdays metro uk highest circulation print newspaper third anniversary julian assange arr,mega,1
33d2e20cd6ce5b395bec12f7d0853816,money_bag wan na win hard cash partying_face welcome raffle rocket 120 tickets check_mark_button 1 usdt per ticket trophy prize 100 usdt trophy military_medal 1 winner fire buy,no influencer,0
3686962059845fca97dd56fee083e65f,eth lagging,nano,2
3686962059845fca97dd56fee083e65f,possibility market makers pulling liquidity amc last couple days fund ape checked short exempts yesterday high compared sp drop either shorted options first statement true,nano,1
36b3a60bab1790a46d9f54284560dc8b,exposes badly want us sell ape diamond hand ape shares apes gem_stone gem_stone gorilla gorilla,no influencer,3
36b3a60bab1790a46d9f54284560dc8b,admit wrong selling ape good good luck lol,no influencer,1
36b3a60bab1790a46d9f54284560dc8b,fucking jacked lfg amc ape,no influencer,1
36b3a60bab1790a46d9f54284560dc8b,ape fucking save billy,no influencer,1
36b3a60bab1790a46d9f54284560dc8b,convinced bruh going wake early morning spend 96 amc ape thanks clown_face face_with_tears_of_joy face_with_tears_of_joy,no influencer,1
36b3a60bab1790a46d9f54284560dc8b,oh man ape squeezes going melt faces rocket fuel amc,no influencer,2
36b3a60bab1790a46d9f54284560dc8b,make rain elsa going lot dance starting next week ape fire flexed_biceps flexed_biceps,no influencer,1
36b3a60bab1790a46d9f54284560dc8b,one first true og hype videos fucking love loaded amc gme think ape set whole fire fire,no influencer,1
36b3a60bab1790a46d9f54284560dc8b,want sell ape,no influencer,1
36b3a60bab1790a46d9f54284560dc8b,thanks bought ape,no influencer,1
383e21ef21cf28f9f3005c9fc6903109,peak bull like top 50 coins possible,macro,2
383e21ef21cf28f9f3005c9fc6903109,disrupt adult industry amp combine adult industry blockchain technology glowing_star 18 industry massive untapped real world market 100b valuation transgender_symbol tip future 02 invest long term gains money_with_wings crypto bsc tip,macro,2
383e21ef21cf28f9f3005c9fc6903109,right_arrow bullish flux right_arrow fully decentralized blockchains amp ecosystems globe_with_meridians need run web3 decentralized infrastructure chart_increasing_with_yen right_arrow flux flexing check_mark_button big time right 38 either way money flux trending crypto,macro,2
383e21ef21cf28f9f3005c9fc6903109,tip cause working real world use cases optimization adult entertainment industry,macro,2
383e21ef21cf28f9f3005c9fc6903109,rt loudspeaker 1 day go loudspeaker heart_on_fire enjoy access decentralized nsfw streaming stellar cam stars like never seen,macro,1
383e21ef21cf28f9f3005c9fc6903109,kava performing better towards upward trend especially bear market check_mark_button safest place earn crypto institutional grade safety amp reliability globe_with_meridians kava gearing massive pump rocket price 1 99 money_bag trending crypto btc,macro,1
383e21ef21cf28f9f3005c9fc6903109,rt sure inevitable resurgence defi increase hacks exploits crypto bound necessary,macro,2
383e21ef21cf28f9f3005c9fc6903109,alien defi nft metaverse collect amp play unique digital items globe_with_meridians alien tlm making close bullish butterfly check_mark_button alien buy 0 02 amp keep watchlist gaining momentum rocket tlm moonsoon blockchain crypto hodl btc eth bnb,macro,1
383e21ef21cf28f9f3005c9fc6903109,would suggest invest acquiring fis dotted_six pointed_star fis currently broken resistance 0 46 amp gained 57 last 24 hours making super bullish rocket buy 0 41 money_bag fis fisusdt altcoins cryptonews cryptocurrencynews,macro,2
383e21ef21cf28f9f3005c9fc6903109,backhand_index_pointing_right cake real price shall come soon shall see new ath chart_increasing_with_yen coming days backhand_index_pointing_right suggest fill bags money_bag cake see huge pump coming days crystal_ball buythedip crypto pancakeswap,macro,1
38db4eddf03117ce91093a920966451e,digital currency gains presence india indian finance minister nirmala sitharaman announces launch cbdc 2022 23 means boost country economic growth income transfer virtual digital asset shall taxed rate 30 cryptoindia,macro,0
38db4eddf03117ce91093a920966451e,shiba inu movement unpredictable ranges currently sleeping lion rise anytime soon 0 000054 0 000060 accumulation zone traders look trade long shibusdt memecoin dyor cryprotraders dogekiller cryptolovers pandaishere altcoin,macro,0
38db4eddf03117ce91093a920966451e,crypto trust cryptoindia nirmalasitharaman bullish,macro,0
38db4eddf03117ce91093a920966451e,eth price area 2 929 2 858 support good entry point join trend upward price revisits area retest target resistance 3 180 area area hold price drop towards 2 661 2 557 area liquidity ethusdt,macro,0
38db4eddf03117ce91093a920966451e,drop price volume visible shibainu makes sharp drop towards support zone 0 00006430 price drops next resistance 0 00005776 likely reaction area either two shibusdt shibainu chartpanda pandincrypto dyor dips lovecrypto,macro,0
38db4eddf03117ce91093a920966451e,forget add gem gem_stone portfolio got listed amp eyes initial mcap 66k amp price 1 25 cgaz surely touch sky,macro,3
38db4eddf03117ce91093a920966451e,ah another game sparkles going better 1st whatever still gon na play trophy 10 000 worth rewards,macro,1
38db4eddf03117ce91093a920966451e,turning game may fulfil fantasies playing around decendant narca amp raymond like characters available diff levels investors stake amp earn apy gamers game amp earn upgrade amp igo platform coming lfg gemg rocket,macro,1
38db4eddf03117ce91093a920966451e,let know guys think ido approaching february imo could moonshot fundamental aspects sdk hosting mechanism fire alliance bar_chart vision try eyes,macro,2
38db4eddf03117ce91093a920966451e,polkadot commonly held altcoin q4 2022 around 42 venture capital hedge funds investing crypto betting success polkadot smart contracts platform dot currently 11th largest cryptocurrency market cap us 18 7 billion,macro,0
38ed8d57396dd002f1fc2ba6db91081b,amc theatres considering adding shiba inu shib payment ticket purchases ceo confirms,mega,0
38ed8d57396dd002f1fc2ba6db91081b,rt convinced ever need bitcoin,mega,1
38ed8d57396dd002f1fc2ba6db91081b,got ta legit give credit entire social media game tiktok youtube instagram point need adapt like thumbs_up,mega,1
38ed8d57396dd002f1fc2ba6db91081b,much ethereum would buy dropped 100,mega,0
38ed8d57396dd002f1fc2ba6db91081b,met someone w 3 4 last night average guy killing nft game really cool see,mega,1
38ed8d57396dd002f1fc2ba6db91081b,excited crypto year smiling_face_with_sunglasses,mega,0
38ed8d57396dd002f1fc2ba6db91081b,needs answer,mega,3
38ed8d57396dd002f1fc2ba6db91081b,advice would give new cryptocurrency investor watch asap backhand_index_pointing_down gt gt,mega,0
38ed8d57396dd002f1fc2ba6db91081b,12 9 btc supply remains exchanges eyes cc,mega,1
3ddbf5b440130d3ee61d4ac28018b498,rt earnings week tsla aapl msft ba intc jnj hal ge vz ibm axp lmt fcx mmm,nano,1
3ddbf5b440130d3ee61d4ac28018b498,rt exclusive holdings ceo gavin michael says co well capitalized says finished q3 355 million,nano,2
3ddbf5b440130d3ee61d4ac28018b498,rt earnings week mu nke wba bbby gis poww xair payx snx mkc msm stz tnp cnxc,nano,1
3ddbf5b440130d3ee61d4ac28018b498,qs huge move week rnaz cei strong snmp pushing several reversing setups worth watching root wish sklz sol wpg jmia inside buy activity days ago,nano,0
3ddbf5b440130d3ee61d4ac28018b498,rt 1mil luna 3 days ago would worth 1 746 right one craziest things ever witnessed,nano,1
